Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02,24.80592350806199,24.817058905170082,23.90623813027048,24.3471736907959,212818400,0.0,0.0
2015-01-05,24.115570620142524,24.195740719586883,23.47421152361066,23.661273956298828,257142000,0.0,0.0
2015-01-06,23.725857797065178,23.924055645542914,23.300510745350667,23.663503646850586,263188400,0.0,0.0
2015-01-07,23.872832983021308,24.09552732688913,23.761485811087397,23.995315551757812,160423600,0.0,0.0
2015-01-08,24.324902711486303,24.975169755287546,24.206873287961027,24.917268753051758,237458000,0.0,0.0
2015-01-09,25.090973827617702,25.220136967756766,24.543145890743915,24.94399642944336,214798000,0.0,0.0
2015-01-12,25.075374998472732,25.082055554872017,24.229137773788057,24.329349517822266,198603200,0.0,0.0
2015-01-13,24.814831974168793,25.119923851288746,24.253642948754624,24.545372009277344,268367600,0.0,0.0
2015-01-14,24.28259695370524,24.605503145769053,24.16234177692346,24.451845169067383,195826400,0.0,0.0
2015-01-15,24.496376037587304,24.50973715355685,23.752577798886094,23.7882080078125,240056000,0.0,0.0
2015-01-16,23.83497296480989,23.95745552127747,23.427441948588125,23.603370666503906,314053200,0.0,0.0
2015-01-20,24.015356403215062,24.267002090526535,23.71694680820157,24.211328506469727,199599600,0.0,0.0
2015-01-21,24.26254788334859,24.73243308093028,24.111115662814825,24.39616584777832,194303600,0.0,0.0
2015-01-22,24.554277991079733,25.046432270318064,24.43402284561988,25.03084373474121,215185600,0.0,0.0
2015-01-23,25.008575256465825,25.331481372372586,24.837099661876888,25.16000747680664,185859200,0.0,0.0
2015-01-26,25.329255590502346,25.467326702951276,25.11992405107583,25.186731338500977,222460000,0.0,0.0
2015-01-27,25.035294330902254,25.048657145055746,24.28036074360682,24.30485725402832,382274800,0.0,0.0
2015-01-28,26.195531429791505,26.304652866471436,25.67888069152832,25.67888069152832,585908400,0.0,0.0
2015-01-29,25.903807377160213,26.54294078942319,25.734559191166447,26.47835922241211,337745600,0.0,0.0
2015-01-30,26.367008484163442,26.723319065228583,26.02183159996176,26.09086799621582,334982000,0.0,0.0
2015-02-02,26.28906293130244,26.5384794612248,25.85035488617769,26.418224334716797,250956400,0.0,0.0
2015-02-03,26.389279225097873,26.5206680698437,26.191081398907162,26.422683715820312,207662800,0.0,0.0
2015-02-04,26.389280228253927,26.836896343295066,26.34696775846218,26.625335693359375,280598800,0.0,0.0
2015-02-05,26.833257028230424,26.880208905321464,26.661106399900362,26.815372467041016,168984800,0.1175,0.0
2015-02-06,26.833255438234907,26.884678026144197,26.4822455729834,26.589561462402344,174826400,0.0,0.0
2015-02-09,26.504601729070643,26.79300963629944,26.477772332843948,26.76618194580078,155559200,0.0,0.0
2015-02-10,26.866793027670045,27.309468747029204,26.864558523628553,27.28040313720703,248034000,0.0,0.0
2015-02-11,27.44808306908396,27.92876582622823,27.387719051083646,27.919822692871094,294247200,0.0,0.0
2015-02-12,28.183639751982405,28.50111502281552,28.074089351068725,28.273069381713867,297898000,0.0,0.0
2015-02-13,28.456397996121094,28.456397996121094,28.091974276599576,28.411684036254883,217088800,0.0,0.0
2015-02-17,28.50334709347577,28.814115414050107,28.375910436349848,28.579362869262695,252609600,0.0,0.0
2015-02-18,28.53465319401436,28.791762771854323,28.494409940911336,28.778348922729492,179566800,0.0,0.0
2015-02-19,28.724684447042772,28.847650392186146,28.69114983084748,28.71797752380371,149449600,0.0,0.0
2015-02-20,28.755984665874507,28.952730178833008,28.62854971240376,28.952730178833008,195793600,0.0,0.0
2015-02-23,29.068988042084644,29.735235214233402,28.988501554670574,29.7352352142334,283896400,0.0,0.0
2015-02-24,29.72182158397097,29.869380713877174,29.326096067024803,29.54966926574707,276912400,0.0,0.0
2015-02-25,29.41329565667243,29.422240496915805,28.650910070132056,28.793996810913086,298846800,0.0,0.0
